Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Urban population,SP.URB.TOTL,IBRD only,IBD,1333641154,1736652375,2265715904,2317809982,2370556736,2423507360,2476317766,2529215923,2582417026,2634177755,2684649049,2733493153
Urban population,SP.URB.TOTL,IDA & IBRD total,IBT,1546154684,2048327401,2736675863,2805580458,2875634330,2946542595,3018348768,3090962746,3164592663,3237588649,3310137127,3381898060
Urban population,SP.URB.TOTL,IDA blend,IDB,84066672,121970470,182311097,188787619,195460748,202346504,209437703,216720489,224185927,231886966,239831544,248003523
Urban population,SP.URB.TOTL,IDA only,IDX,128446858,189704556,288648862,298982857,309616846,320688731,332593299,345026334,357989710,371523928,385656534,400401384
Urban population,SP.URB.TOTL,IDA total,IDA,212513530,311675026,470959959,487770476,505077594,523035235,542031002,561746823,582175637,603410894,625488078,648404907
Urban population,SP.URB.TOTL,Late-demographic dividend,LTE,716317713,932642061,1234212958,1262946621,1291818382,1320690279,1349370077,1378184354,1407262739,1434746426,1460836157,1484983036
Urban population,SP.URB.TOTL,Latin America & Caribbean,LCN,312318023,393146853,470192575,477015727,483791757,490491739,497108429,503629772,510053174,516359790,522741449,529082736
Urban population,SP.URB.TOTL,Latin America & Caribbean (excluding high income),LAC,277348478,350660346,421526832,427792511,434051153,440374037,446792582,453330361,459955109,466569441,473037212,479256573
Urban population,SP.URB.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,300638916,380470236,457323145,464155582,470938410,477663821,484313417,490878147,497363309,503782969,510155980,516489136
Urban population,SP.URB.TOTL,Least developed countries: UN classification,LDC,108895349,164462263,256742554,267248811,278143155,289451476,301173968,313322016,325906292,338932815,352399560,366304348
Urban population,SP.URB.TOTL,Low & middle income,LMY,1510246990,2008230688,2693184591,2761772355,2831565423,2902341452,2974192879,3047041792,3121057826,3194503779,3267394046,3339281474
